"resource_id","iam_principal","service","charge_type","region","tag_project","tag_owner","tag_name","tag_cluster","cost_usd"
"i-aaaa11112222aaaa","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","app","-","app-app","-","80.75200000000004"
"arn:aws:r53resolver:us-west-2:123456789012:eni-07d85a1c1da7968f7","(no principal)","AmazonRoute53","Usage","us-west-2","-","-","-","-","73.625"
"arn:aws:r53resolver:us-west-2:123456789012:eni-0538a80ad46d94217","(no principal)","AmazonRoute53","Usage","us-west-2","-","-","-","-","73.625"
"arn:aws:dax:us-east-2:123456789012:cache/music-dax-cluster","(no principal)","AmazonDAX","Usage","us-east-2","-","-","-","-","70.68000000000004"
"i-08ab4b1b8c5c901f0","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","-","-","app-lab-workload-Node","-","70.52253336000004"
"i-0b762db57f5b4d5f0","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","-","-","app-lab-workload-Node","-","70.52146668000003"
"i-00230f983ccc0a0e8","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","-","-","app-lab-monitoring-Node","-","70.45263336000004"
"i-069e3c93b94858918","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","-","-","app-lab-monitoring-Node","-","70.45260000000003"
"i-005d511d4c56f4350","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","-","-","app-lab-workload-Node","-","70.42896672000003"
"arn:aws:kafka:ap-southeast-1:123456789012:cluster/PrivateMSK/365d8319-9a80-4587-9808-444728e09f4f-3","(no principal)","AmazonMSK","Usage","ap-southeast-1","-","-","-","-","70.05173331369988"
"(no resource id)","(no principal)","AWSSecurityHub","Usage","ap-southeast-1","-","-","-","-","69.03948265299971"
"arn:aws:access-analyzer:us-west-2:123456789012:UnusedAccess-ConsoleAnalyzer-e55b45b4-0dc7-4d6c-8c4b-864c27f3e931","(no principal)","AWSIAMAccessAnalyzer","Usage","us-west-2","-","-","-","-","67.0"
"i-06b75135a2518cb05","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","-","-","nginx-static-site","-","62.061794678399835"
"arn:aws:sagemaker:us-west-2:123456789012:notebook-instance/aws-neptune-graphrag-demo-knowledgebase","(no principal)","AmazonSageMaker","Usage","us-west-2","-","-","-","-","59.446159163000644"
"arn:aws:ec2:sa-east-1:123456789012:natgateway/nat-00051710f8dad0bba","(no principal)","AmazonEC2","Usage","sa-east-1","-","-","second-site-vpc-nat-public1-sa-east-1a","-","54.77700270979989"
"i-0c11c42944a02576e","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-west-2","-","-","pcluster-management","-","48.747896870399956"
"i-0f07b14e8a09636e8","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-east-1","-","-","litellm-proxy","-","48.531507564800236"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/global.anthropic.claude-opus-4-6-v1","arn:aws:sts::123456789012:assumed-role/app-ec2-role/i-aaaa11112222aaaa","AmazonBedrockService","Usage","us-east-1","-","-","-","-","46.876541"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/global.anthropic.claude-opus-4-8","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-east-1","-","-","-","-","41.6762845"
"arn:aws:ec2:ap-southeast-1:123456789012:transit-gateway-attachment/tgw-attach-02662882731a2ab8f","(no principal)","AmazonVPC","Usage","ap-southeast-1","-","-","tgw-attachment-vpcB","-","41.230000000000125"
"arn:aws:ec2:ap-southeast-1:123456789012:transit-gateway-attachment/tgw-attach-08a9774ba6d7b5df6","(no principal)","AmazonVPC","Usage","ap-southeast-1","-","-","-","-","41.230000000000125"
"arn:aws:ec2:ap-southeast-1:123456789012:transit-gateway-attachment/tgw-attach-0bf3125348e1ca5e9","(no principal)","AmazonVPC","Usage","ap-southeast-1","-","-","-","-","41.230000000000125"
"arn:aws:ec2:ap-southeast-1:123456789012:transit-gateway-attachment/tgw-attach-0418d84ec3e426e72","(no principal)","AmazonVPC","Usage","ap-southeast-1","-","-","tgw-attachment-vpcC","-","41.230000000000125"
"arn:aws:ec2:ap-southeast-1:123456789012:transit-gateway-attachment/tgw-attach-015c094f69de2c248","(no principal)","AmazonVPC","Usage","ap-southeast-1","-","-","tgw-attchment-vpcA","-","41.230000000000125"
"arn:aws:bedrock:us-west-2:123456789012:inference-profile/global.anthropic.claude-opus-4-8","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-west-2","-","-","-","-","39.841795"
"arn:aws:ec2:ap-northeast-1:123456789012:natgateway/nat-0f4b49f55b22e03de","(no principal)","AmazonEC2","Usage","ap-northeast-1","-","-","hpc-demo-nat","-","36.518003095999944"
"arn:aws:ec2:ap-northeast-1:123456789012:natgateway/nat-0e874cdf149e2bf6d","(no principal)","AmazonEC2","Usage","ap-northeast-1","-","-","-","-","36.51799999999996"
"arn:aws:rds:us-east-1:123456789012:db:mcs-storagestackservicedbclusterwriter10e46894-gmyjnoghwxqf","(no principal)","AmazonRDS","Usage","us-east-1","-","-","-","-","35.57260000039999"
"arn:aws:ec2:ap-southeast-1:123456789012:vpn-connection/vpn-027cac9072526af6c","(no principal)","AmazonVPC","Usage","ap-southeast-1","-","-","vpc-01","-","35.340000000000174"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/global.anthropic.claude-opus-4-7","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-east-1","-","-","-","-","35.12996675000001"
"arn:aws:ec2:ap-southeast-1:123456789012:natgateway/nat-0266634919bcc1dc6","(no principal)","AmazonEC2","Usage","ap-southeast-1","-","-","project-nat-gw","-","35.11196667899991"
"arn:aws:ec2:ap-southeast-1:123456789012:natgateway/nat-0e33cb4a61e572ac0","(no principal)","AmazonEC2","Usage","ap-southeast-1","app","-","app-vpc-ap-southeast-1a","-","34.75100819639991"
"arn:aws:ec2:ap-southeast-1:123456789012:natgateway/nat-06b0eeb7f2416495e","(no principal)","AmazonEC2","Usage","ap-southeast-1","-","-","vpc-a-natgw-fwnet","-","34.75100278139993"
"arn:aws:ec2:ap-southeast-1:123456789012:natgateway/nat-0582b9f1bf7eddd79","(no principal)","AmazonEC2","Usage","ap-southeast-1","-","-","vpca-public-natgw","-","34.751002017299925"
"arn:aws:ec2:ap-southeast-1:123456789012:natgateway/nat-0c9a4a858d501ced6","(no principal)","AmazonEC2","Usage","ap-southeast-1","-","-","VPCC-NATGW-transite-route","-","34.75100197099992"
"arn:aws:ec2:ap-southeast-1:123456789012:natgateway/nat-0556daaa5a0072e9d","(no principal)","AmazonEC2","Usage","ap-southeast-1","-","-","Applicance-VPC-nat-public1-ap-southeast-1a","-","34.75100107439992"
"i-0477af9c46491c724","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","app","-","app-app","-","34.42113877999999"
"arn:aws:lambda:ap-southeast-1:123456789012:function:sam-iotReceiver-PetstoreFunction-FkGYSANjO7L7","(no principal)","AWSLambda","SavingsPlanCoveredUsage","ap-southeast-1","-","-","-","-","33.503205750900065"
"arn:aws:quicksight:us-east-1:123456789012:user/default/Admin/admin-session","(no principal)","AmazonQuickSight","Usage","us-east-1","-","-","-","-","32.72222248399994"
"vol-01a632b129ccebb01","(no principal)","AmazonEC2","Usage","us-west-2","team-hpc","owner-b","-","hpc-demo-cluster-1","32.50000002599993"
"(no resource id)","(no principal)","AWSSecurityHub","Usage","us-west-2","-","-","-","-","31.9846261948997"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/us.anthropic.claude-haiku-4-5-20251001-v1:0","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-east-1","-","-","-","-","31.203151485"
"arn:aws:ec2:eu-west-3:123456789012:natgateway/nat-0b2b227e65311eefd","(no principal)","AmazonEC2","Usage","eu-west-3","-","-","main-site-vpc-1-nat-public1-eu-west-3a","-","29.45000390710018"
"arn:aws:ec2:us-east-1:123456789012:transit-gateway-attachment/tgw-attach-010343a937070ce24","(no principal)","AmazonVPC","Usage","us-east-1","-","-","VPC-B-TGW-Attachment","-","29.45000000000001"
"arn:aws:ec2:us-east-1:123456789012:transit-gateway-attachment/tgw-attach-01d79da98354a4b2b","(no principal)","AmazonVPC","Usage","us-east-1","-","-","VPC-A-TGW-Attach","-","29.450000000000006"
"arn:aws:sagemaker:us-east-1:123456789012:app/d-vvsp3owworyo/nova-workshop/JupyterLab/default","(no principal)","AmazonSageMaker","Usage","us-east-1","-","-","-","-","29.444340028500147"
"arn:aws:kinesis:ap-southeast-1:123456789012:stream/my-testkinesis","(no principal)","AmazonKinesis","Usage","ap-southeast-1","-","-","-","-","28.86099999999992"
"arn:aws:kinesis:ap-southeast-1:123456789012:stream/ice-json-streamer","(no principal)","AmazonKinesis","Usage","ap-southeast-1","-","-","-","-","28.86099999999992"
"arn:aws:ec2:us-east-1:123456789012:natgateway/nat-0e190f225d54d4e58","(no principal)","AmazonEC2","Usage","us-east-1","-","-","mcp-nat","-","26.604113606599967"
"arn:aws:ec2:us-east-1:123456789012:natgateway/nat-047a9c4d4e2017407","(no principal)","AmazonEC2","Usage","us-east-1","-","-","litellm-nat","-","26.556249784999974"
"arn:aws:ec2:us-east-1:123456789012:natgateway/nat-0efa027da8b18d499","(no principal)","AmazonEC2","Usage","us-east-1","-","-","MCS/NetworkStack/mainVPC/publicSubnet1","-","26.533748049199957"
"arn:aws:ec2:us-east-1:123456789012:natgateway/nat-03535fede625287d0","(no principal)","AmazonEC2","Usage","us-east-1","-","-","project-a-natgw","-","26.513582805699983"
"arn:aws:ec2:us-east-1:123456789012:natgateway/nat-0743656c21b111060","(no principal)","AmazonEC2","Usage","us-east-1","-","-","vpca-public-natgw","-","26.505004554100005"
"arn:aws:ec2:us-east-2:123456789012:natgateway/nat-024e3a50a5a89b207","(no principal)","AmazonEC2","Usage","us-east-2","ParallelCluster","owner-a","team-hpc-cluster-nat-gw-1","-","26.505004147799987"
"arn:aws:ec2:us-west-2:123456789012:natgateway/nat-04dd6d6248651b41b","(no principal)","AmazonEC2","Usage","us-west-2","-","-","eks-gitops-karpenter-mng-us-west-2a","-","26.505001096600004"
"arn:aws:ec2:us-west-2:123456789012:natgateway/nat-031665ce6092853a4","(no principal)","AmazonEC2","Usage","us-west-2","-","-","vpc-hpc-demo-nat-public1-us-west-2a","-","26.505000893899997"
"arn:aws:ec2:us-east-1:123456789012:natgateway/nat-0a7ce3a15487e2e5b","(no principal)","AmazonEC2","Usage","us-east-1","-","-","-","-","26.504999999999967"
"arn:aws:ec2:us-west-2:123456789012:natgateway/nat-0f7b5b0b3a0681418","(no principal)","AmazonEC2","Usage","us-west-2","-","-","network-ingress-vpc-nat-public1-us-west-2a","-","26.504999999999967"
"arn:aws:ecs:us-east-1:123456789012:task/MCS-DefaultCluster477CA226-m3BxRG1DTNvA/0ff6061c028e41c78f85b6f7ffa4a60e","(no principal)","AmazonECS","SavingsPlanCoveredUsage","us-east-1","-","-","-","-","24.836291622399976"
"i-06b606830b3a2a597","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-west-2","-","-","manual_created_ecs","-","24.432096000000115"
"arn:aws:kinesis:us-east-1:123456789012:stream/input-stream","(no principal)","AmazonKinesis","Usage","us-east-1","-","-","-","-","23.55999999999985"
"arn:aws:ecs:us-east-1:123456789012:task/MCS-DefaultCluster477CA226-m3BxRG1DTNvA/10e01d39730e4a93aeddf1a0e107c338","(no principal)","AmazonECS","SavingsPlanCoveredUsage","us-east-1","-","-","-","-","23.15668074919998"
